date,asin,campaign_id,campaign_name,impressions,clicks,ctr_pct,spend,sales,orders,tos_impressions,placement_impressions,tos_impression_share_pct
2026-01-23,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-01-23,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-01-24,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-01-24,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-01-25,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-01-25,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-01-26,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-01-26,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-01-27,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-01-27,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-01-28,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-01-28,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-01-29,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-01-29,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-01-30,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-01-30,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-01-31,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-01-31,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-01,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-01,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-02,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-02,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-03,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-03,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-04,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-04,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-05,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-05,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-06,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-06,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-07,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-07,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-08,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-08,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-09,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-09,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-10,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-10,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-11,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-11,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-12,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-12,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-13,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-13,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-14,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-14,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-15,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-15,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-16,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-16,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-17,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-17,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-18,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-18,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-19,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-19,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-20,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-20,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
2026-02-21,B0GXYYZPBW,230170919088708,SC_B0GXYYZPBW_MF04_Auto_260606,0,0,,0.0,0.0,0,0,0,
2026-02-21,B0GXYYZPBW,173844737302109,SC_B0GXYYZPBW_MF04_Frother_P_260610,0,0,,0.0,0.0,0,0,0,
